"URL","Subject","Predicate","Object","Errors","Warnings","Validation Type 1","Severity 1","Issue 1","Validation Type 2","Severity 2","Issue 2","Validation Type 3","Severity 3","Issue 3","Validation Type 4","Severity 4","Issue 4","Validation Type 5","Severity 5","Issue 5","Validation Type 6","Severity 6","Issue 6","Validation Type 7","Severity 7","Issue 7","Validation Type 8","Severity 8","Issue 8","Validation Type 9","Severity 9","Issue 9","Validation Type 10","Severity 10","Issue 10"
"https://www.stitch.coffee/products","subject1","http://schema.org/name","Elevate Your Coffee Experience with Stitch Coffee Products","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products","subject1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/WebPage","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-dripper-air-limited-edition","subject0","JSON-LD","subject1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-dripper-air-limited-edition","subject1","http://schema.org/brand","subject2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-dripper-air-limited-edition","subject1","http://schema.org/description","A pop of purple? That’s just what your pour-over setup needs! Made of Eco-friendly AS-resin, this is a tougher and dishwasher safe dripper.","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-dripper-air-limited-edition","subject1","http://schema.org/image","https://cdn.sanity.io/images/yp7gcwn5/production/dc45718480f2af0d72d52d677ed6da904fccc442-1600x1600.jpg?w=1200","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-dripper-air-limited-edition","subject1","http://schema.org/name","ORIGAMI Dripper - Air - Limited Edition","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-dripper-air-limited-edition","subject1","http://schema.org/offers","subject3","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-dripper-air-limited-edition","subject1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Product","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-dripper-air-limited-edition","subject2","http://schema.org/name","Stitch Coffee","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-dripper-air-limited-edition","subject2","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Brand","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-dripper-air-limited-edition","subject3","http://schema.org/availability","http://schema.org/InStock","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-dripper-air-limited-edition","subject3","http://schema.org/price","21","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-dripper-air-limited-edition","subject3","http://schema.org/priceCurrency","AUD","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-dripper-air-limited-edition","subject3","http://schema.org/seller","subject4","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-dripper-air-limited-edition","subject3","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Offer","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-dripper-air-limited-edition","subject4","http://schema.org/name","Stitch Coffee","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-dripper-air-limited-edition","subject4","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Brand","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-filter-paper","subject0","JSON-LD","subject1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-filter-paper","subject1","http://schema.org/brand","subject2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-filter-paper","subject1","http://schema.org/description","Thick and well-women paper filter that pairs perfectly with all Origami drippers","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-filter-paper","subject1","http://schema.org/image","https://cdn.sanity.io/images/yp7gcwn5/production/86d78f11789c2c7be33cdd9e0ddbf749f86373d7-1500x1500.png?w=1200","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-filter-paper","subject1","http://schema.org/name","ORIGAMI Paper Filter","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-filter-paper","subject1","http://schema.org/offers","subject3","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-filter-paper","subject1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Product","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-filter-paper","subject2","http://schema.org/name","Stitch Coffee","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-filter-paper","subject2","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Brand","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-filter-paper","subject3","http://schema.org/availability","http://schema.org/InStock","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-filter-paper","subject3","http://schema.org/price","10.71","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-filter-paper","subject3","http://schema.org/priceCurrency","AUD","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-filter-paper","subject3","http://schema.org/seller","subject4","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-filter-paper","subject3","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Offer","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-filter-paper","subject4","http://schema.org/name","Stitch Coffee","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-filter-paper","subject4","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Brand","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/louis-sip-in-stitches","subject0","JSON-LD","subject1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/louis-sip-in-stitches","subject1","http://schema.org/brand","subject2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/louis-sip-in-stitches","subject1","http://schema.org/description","Heavyweight, 100% cotton t-shirt featuring custom screen print and embroidery. Oversized fit.","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/louis-sip-in-stitches","subject1","http://schema.org/image","https://cdn.sanity.io/images/yp7gcwn5/production/73e6bc0e42b989a149f7531b65540469e77e4541-1600x1600.png?w=1200","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/louis-sip-in-stitches","subject1","http://schema.org/name","Louis Sip in Stitches Tee","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/louis-sip-in-stitches","subject1","http://schema.org/offers","subject3","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/louis-sip-in-stitches","subject1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Product","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/louis-sip-in-stitches","subject2","http://schema.org/name","Stitch Coffee","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/louis-sip-in-stitches","subject2","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Brand","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/louis-sip-in-stitches","subject3","http://schema.org/availability","http://schema.org/InStock","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/louis-sip-in-stitches","subject3","http://schema.org/price","31.5","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/louis-sip-in-stitches","subject3","http://schema.org/priceCurrency","AUD","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
